id,bucket,is_root,spam,text,parent_text
256,experiment,False,0,We made it abundantly clear that voluntary regulation does not work,We made it abundantly clear that voluntary regulation does not work
512,experiment,False,0,"This kid's been kicked around all his life, born in a slum, mother dead since he was nine, lived in an orphanage for a year and a half","This kid's been kicked around all his life, born in a slum, mother dead since he was nine, lived for a year and a half in an orphanage when his father was serving a jail term for forgery, he's a wild angry kid, that's all he's ever been"
768,experiment,False,0,"If this proposed regulation had been in place, it would have determined our ability to save the grizzly bear, the bald eagle and the gray whale.","If this proposed regulation had been in place it would have determined our ability to save the grizzly bear, the bald eagle, and the gray whale."
1024,experiment,False,0,don't forget to leave the door open when you are finished so the robbers wont break the windows,"Don't forget to leave the door open when you are finished, so people robbing us won't break the windows."
1280,experiment,False,0,the young boy was suddently hit by the little girl,The young boy was suddeny hit by a little girl
1536,experiment,False,0,They want to leave all for themselves and thats beaing rich ghetto,They want to keep it all for themselves but it sends up being a rich ghetto.
1792,experiment,False,0,The lack of transparency in agreement of global issues is alarming.,The lack of transparency in agreement to global economics is questionable.
2048,experiment,False,0,One who travels halfway around the world to a special place cannot be a true refugee,One who travels halfway across the world to a special place cannot be a true refugee.
2304,experiment,False,0,They are illegal immigrants until they prove that they are coming from a war-torn country,They are illegal immigrants until they prove that they are coming from a war-torn country
2560,experiment,False,0,a teenage girls love clothes she went shoping with mum. They traveled into town on a bus,a teenage girls love clothes she went  shoping with mum they traveled into town on a buds
2816,experiment,False,0,"The king of the polar bears lived among the far North . He was old,monstrous and wise old bear. He had long white hairs like silver",the King of the Polar Bears lived among the icebergs in the far North. he was old and monstrous big he was wise and friendly his body covered with long white hair that glistened like silver
1,experiment,True,0,The young boy was suddenly hit by the little girl,
257,experiment,False,0,"Listen I've lived among them all my life, you can't believe a word they say, you know that, they're born liars.","Listen I've lived among them all my life, you can't believe a word they say, you know that, they're born liars"
513,experiment,False,1,"It is clear that the financial system, though that what it was in September, is","It is clear that the financial system, though improved from that what it was in September, is still fragile"
769,experiment,False,0,"The crisis was not developed overnight, and it will not be solved overnight.",The crisis was not developed overnight and it will not be solved overnight
1025,experiment,False,0,If you ask me I'd slap those kids before they cause trouble. It would save time and money.,"If you ask me I'd slap those kids before they start trouble, it would save time and money."
1281,experiment,False,0,Let me show that I'm innocent and did no wrong,Let me show that I`m innocent and I didnt do anything wrong
1537,experiment,False,0,They want to keep it all to themself and i don't blame them,"They want to keep it all to themselves and i don't blame them, but it becomes a rich ghetto."
1793,experiment,False,1,There was once an old man who's fortune (who's eyes.,There was once an old man whom Fortune (whose eyes
2049,experiment,False,0,"we cant point fingers at any political party, any responsibility is shared","We can't point fingers at any political party, any responsibility is shared."
2305,experiment,False,0,This sociolism for the rich and i dont like it,this sociolism for the rich and i don't like it
2561,experiment,False,0,"By the way, I can't come to collect you, it's kilometers away. You can hitchhike.","By the way, I can't come to collect you, it's kilometers away, you can hitchike"
2817,experiment,False,0,I'm going to republical to support the candidate and not to support jonh,i'm going to the republical conference not to support the candidate but to support jonh
2,experiment,True,0,Don't forget to leave the door open when you leave the office,
258,experiment,False,0,If there is a major attack on this country it'll bear the fingerprints of al-quaeda,If there is a major attack on this country it will bear the fingerprints of al-qaeda
514,experiment,False,0,He promised he'd be on time for the party tonight.,He promised he'd be on time for the party tonight
770,experiment,False,0,if you ask me if I will stay then I will,if you ask me if i will stay then i will
1026,experiment,False,0,Don't forget to leave the doors oepn when you leave the office so that the people robbing us don't break the windows,"Don't forget to leave the doors oepn when leaving the office, so the people robbing us don't break the windows."
1282,experiment,False,0,the young boy was suddenly hit by the young girl,the young boy was suddenly hit by the young girl
1538,experiment,False,0,He promised me he'd on time to the party that night,He promised me he'd on time to the party that night.
1794,experiment,False,1,They are illegal immigrants until they prove they are escaping war and,They are illegal immigrants until they prove they are escaping a war and
2050,experiment,False,0,"Someone that travels the world looking for the perfect place, is not a refugee","One who travels across the world and is willing to settle in one special place of his desire without his wishes being granted, dont not become a real refugee"
2306,experiment,False,0,i am currently pregnant and i fear for the safety of my second,i am currently pregnant and i fear for the safety of my second
2562,experiment,False,1,the lack of the in transparency in the agreement is...,the lack of  the in transparency in the agreement is...
2818,experiment,False,1,The technology of the computer of the will be an,The technology of the computer of the will be an
3,experiment,True,0,Don't forget to leave the door open when you leave the office so that the cleaning person can come in,
259,experiment,False,0,This is the most serious financial situation we have known in years.,This is the most serious financial situation we have known in generations
515,experiment,False,0,This is an oustanding performance by a female actor in a leading role.,This is an outstanding performance by a female actor in a leading role.
771,experiment,False,0,the young boy was suddenly hit by the little girl.,the young boy was suddenly hit by the little girl
1027,experiment,False,0,Studies have shown that Tiscolan can show dangers to people.,Studies have shown that Tiscolan can cause dangers. The F.D.A. want to bank this from antiseptic soap
1283,experiment,False,0,They want to leave it all for themselves and I don't blame them but it ends up being a rich ghetto,They want to leave it all for themselves and i don't blame them but it ends up being a rich ghetto.
1539,experiment,False,1,if this proposed something to be in place it is in place,if this proposed something had been put into place it would have
1795,experiment,False,0,"One night, two men from Egulac came down to the foggy shore to hunt seals. They heard a noise and thought it was a war party, but it was people on a boat with arrows.","One foggy night, two men from Egulac went down to the foggy shore to hunt seals. They heard a noise and though it was a war party. Two men came in a canoe. One of the men in the canoe had arrows."
2051,experiment,False,0,The lack of transparency in agreements of global issues is alarming.,The lack of transparency in agreement of global issues is alarming.
2307,experiment,False,0,how will the cultural and the regulious aspects affect the us,how will the cultural and regulious aspects affect the us
2563,experiment,False,1,I builders build programmers make programmes the wood will be,"If builders built houses like programmers write programs, the woodpecker would have destroyed civilization."
2819,experiment,False,0,I cannot come fetch you I am far to north,I cannot come fetch you I am too far north
4,experiment,True,0,Don't forget to leave the door open when you leave the office so that the people robbing us don't break the windows,
260,experiment,False,0,"I'm going to the Republican convention, not to destroy the Democratic candidate, but to explain to the American people why I support John McCain",I'm going to the republican convention not to attack the democratic candidate but to explain to the American people why I support John McCain
516,experiment,False,1,"it`s clear that the financial system, althought improved from where it was in september","It is clear that the financial system, although improved from where it was in September, is still fragile"
772,experiment,False,0,All difficult things have their origin in texts that were easy,All difficult things have their origin in texts that were easy.
1028,experiment,False,1,we know that military force was once necessary b  f,we now know that military force was once necessary b
1284,experiment,False,0,"It's clear that the financial system, though improved from September, it's still fragile.","It's clear that the financial system, though improved from September, is still fragile"
1540,experiment,False,0,We also know that military force sometimes do a bet,We also know that military force sometimes do a bet
1796,experiment,False,0,"Immediately after becoming president, I will meet this economic challenge head-on.",Immediately after becoming president I will meet this economic challenge head-on
2052,experiment,False,0,how will the cultural and regulious aspects affect the us,How will the cultural and regulious aspects affect the EU
2308,experiment,False,0,"one night two guys from egulac went down to the river to hunt seals, and while they were there it turned foggy and calm",one night two young men from egulac went down to the river to hunt seals and while they were there it became foggy and calm
2564,experiment,False,1,We can't point the finger to any public party to,We cant point the finger in any politcal party ...
2820,experiment,False,1,The kid had been kicked around all his life. He s,the kid had been kicked arround all his life. He s
5,experiment,True,0,"By the way, I can't come and fetch you, but it's only a dozen kilometers, you can hitch-hike down to the village",
261,experiment,False,1,can you pay the rent a little earlier this month>?,Can you pay the rent a little earlier this month>?
517,experiment,False,0,"There is no hope for peace, it is a lost cause","There is no hope for peace, it is a lost cause"
773,experiment,False,0,"If there is a major attack on this country, it will bear the fingerprints of Al-Qaeda","If there is a major attack on this country, it will bear the fingerprints of Alquada"
1029,experiment,False,0,"Listen I've lived among them my whole life, they're all liars, you can believe a thing they say","Listen I've lived among them my whole life, they're all liars, you can't believe anything they say."
1285,experiment,False,0,Listen! I've lived among them my entire life. they're liars,Listen! I have lived among them my entire life. they're liars
1541,experiment,False,0,new researches tell us that common chemicals  are more dangerous than we thought.,new researches tell us that common chemicals are more dangerous then we thought
1797,experiment,False,0,"We can't point the finger at any political party, the responsibility is shared.","We can't point the finger at any political party, the responsibility is shared"
2053,experiment,False,0,"It's obvious that the boys story was flimsy, he wasn't in movies","It's obvious to me that the boys story is climsy, he wasn't in the movies"
2309,experiment,False,1,there was once an old man who's fortune (who's eyes,there was once an old man who's fortune (who's eyes
2565,experiment,False,1,the lack of in the transperancy to the back of,the lack of the in transparency in the agreement is...
2821,experiment,False,1,We can't point the finger to any public party to,We can't point the finger to any public party to
6,experiment,True,0,Can you pay the rent a little earlier this month?,
262,experiment,False,0,Don't forget to leave the door open when you leave the office so the people robbing us don't break the windows,Don't forget to leave the door open when you leave the office so that the people robbing us don't break the windows
518,experiment,False,0,I am currently pregnant and I fear for the safety of my second,I am currently pregnant and I fear for the safety of my second
774,experiment,False,0,"Let me show you that I'm innocent and didn't do anything wrong, a crime has not been proven here.","Let me show you that I'm innocent and that I didn't do anything wrong, a crime has not been proven here."
1030,experiment,False,0,If you ask me i'd slap those tough kids down before they start any trouble,If you ask me i'd slap those tough kids down before they start any trouble
1286,experiment,False,0,Will you investigate the problems of Bush administration and wire tapping,Will you investigate the problems of bush administarion and the wire tapping?
1542,experiment,False,0,let me show you that im innocent and I did nothing wrong,let me show you that im innocent and I did nothing wrong
1798,experiment,False,0,"If builders built houses the way programmers build programmers, the first woodpeckers to come along would destroy civilization.","If builders built houses the way programmers built programs, the first woodpecker to come along would destroy civilisation."
2054,experiment,False,0,"the crisis did not developed overnight, and it will be not solved overnight",the crisis did not developed overnight and it will be not solved overnight.
2310,experiment,False,0,There is no hope for peace it is a lost cause,There is no hope for peace it is a lost cause
2566,experiment,False,0,"she changed the subject quickly, using her fork to deflect","She changed her subject quickly, using her fork to defect"
2822,experiment,False,0,The lack of transperency is the deal which will affect all the people,The lack of transperency is the deal which will affect all the people.
7,experiment,True,0,"They want to keep it all for themselves, and I don't blame them, but it ends up being a rich ghetto",
263,experiment,False,0,"New research is demonstrating that some chemicals are more harmful than previously though, endangering us and the next generation","New research is demonstrating that some common chemicals all around us may be even more harmful than previously thought. It seems that they may damage us in ways that are transmitted generation after generation, imperiling not only us but also our descendants."
519,experiment,False,0,"If there is a major attack on this country, it will bear the fingerprints of Alquada",If there is a major attack on this country it will bear the fingerprints of al-quada
775,experiment,False,1,It's been proven time and time again that children from poor backgrounds,"It's no secret, children from slum backgrounds can be a menace to society"
1031,experiment,False,0,Don't forget to leave the front door of the office open so the cleaning person can get it,Don't forget to let the front door of the office open so the cleaning person can get it
1287,experiment,False,0,This is an outstanding performance by a female actor in a leading role.,This is an outstanding performance by a female actor in a leading role
1543,experiment,False,1,it's socialisam fo the rich  and to be a good,"It's socialism for the rich, It's bailing out the financialists."
1799,experiment,False,0,the kind of polar bears lived amoungst icebergs in the north. He was monstrous and big.,"the kind of polar bears lived among icebergs in the north, he was monstrous and big"
2055,experiment,False,0,Don't forget to leave the door open when you leave so robbers don't break the window,Don't forget to leave the door open when you leave so robbers don't break the window
2311,experiment,False,1,there is no lose hope that can ra te tup,there is no lose hope that can ra te tup
2567,experiment,False,1,tricobal is antibacterial agent in cosmetics and perfumes for the,tricrobal is an antimicrobial agent used in cosmetics and cleaning supplies
2823,experiment,False,0,it was made clear that no more is needed .,it was made clear that no more  tolerance is needed
8,experiment,True,0,This crisis did not develop overnight and it will not be solved overnight,
264,experiment,False,0,Don't forget to leave the door open when you leave the office so that the people robbing us don't break the windows.,Don't forget to leave the door open when you leave the office so that the people robbing us don't break the windows
520,experiment,False,0,"If this proposed regulation had been in place it would have undermined our ability to save the grizzly bear, the bald eagle and the gray whale","If this proposed regulation had been in place it would have undermined our ability to protect the bald eagle, the grizzly bear and the gray whale"
776,experiment,False,0,Can you pay the rent a little earlier this month?,Can you pay the rent a little earlier this month?
1032,experiment,False,0,The crisis did not evolve overnight and will not be solved overnight,The crisis did not evolve overnight and will not be solved overnight
1288,experiment,False,0,It's not just for work. It's not just for play,It's not just for work. It's not just for play
1544,experiment,False,0,this proposed HD legislation would do that stuff easily. j,this proposed HD legislation would do stuff that easily .
1800,experiment,False,0,"By the way, I can't come and fetch you. It's only a few kilometers, you can walk that distance.","By the way, I can't come and fetch you. It's only a few kilometers, you can walk that distance."
