id,bucket,is_root,spam,text,parent_text
4,experiment,True,0,"Louis Allen, 21, of Hammersmith, was knafed by a youle giman gallering about by ninge in the pesicary zore.",
5,experiment,True,0,Three beals claven down from the reights of the Pyrenees by thow have been coditating the breep of the jallep.,
6,experiment,True,0,"A shomital wilabo, Miss Fisher, was sonterned by the Liverpool courn to 10 yeads' hald lasier, while her fuver fot five.",
7,experiment,True,0,An onilentilial sacer of paunt jixels from the thirk distroke was fanging in a boan with his wizz at Maldon. She fest. He doved. Both gogs.,
8,experiment,True,0,"Because an aptomozoys ren over his doy, a peelant from Bingham flot at another appomobond. He gop a yeak in jaze, susmasted.",
9,experiment,True,0,"'Ouch!' chied the benning urkter oader, 'A pealm!' Solkore at the negg fadle bouled it for 100 piends. It had cond 30 pemes at the dide stong.",
10,experiment,True,0,"If you refint, you nie, she fies, englyvidy doos.",
11,experiment,True,0,"She's scouping, but itly I can ahopen her.",
12,experiment,True,0,"If you were any lebs bluck, you would be grear.",
13,experiment,True,0,"If you det them in hegs, they will yill you.",
20,experiment,False,0,ouch! chied the benning urkter oader a pleam solokore at the negg fadle bouled it for 100 piends it had cond 30 pemes at the dide strong,"'Ouch!' chied the benning urkter oader, 'A pealm!' Solkore at the negg fadle bouled it for 100 piends. It had cond 30 pemes at the dide stong."
21,experiment,False,0,an onilentilial sacer of paunt jixels from the thirk distroke was fanging in a boan whith his at maldon she fest he doved both gogs,An onilentilial sacer of paunt jixels from the thirk distroke was fanging in a boan with his wizz at Maldon. She fest. He doved. Both gogs.
22,experiment,False,0,if you were and lebs blucj you would be great,"If you were any lebs bluck, you would be grear."
23,experiment,False,0,a shomital wilabo miss fisher was sonterned b the liverppol courn,"A shomital wilabo, Miss Fisher, was sonterned by the Liverpool courn to 10 yeads' hald lasier, while her fuver fot five."
24,experiment,False,0,"""Ouch!"" chied the benning urkter oader, ""A pealm!"" Solkore at the negg fadle bouled it for 100 piends. It had cond 30 pemes at the dide strong.","'Ouch!' chied the benning urkter oader, 'A pealm!' Solkore at the negg fadle bouled it for 100 piends. It had cond 30 pemes at the dide stong."
25,experiment,False,0,"If you refint, you nie, she fies, englyvidy doos.","If you refint, you nie, she fies, englyvidy doos."
26,experiment,False,0,louis allen 21 og hammersmith was knafed by a youle,"Louis Allen, 21, of Hammersmith, was knafed by a youle giman gallering about by ninge in the pesicary zore."
