id,bucket,is_root,spam,text,parent_text
256,experiment,False,0,"In Bradford, the court and the bar have reestablished contact with the prison now that the typhus outbreak has been curbed.","In Bradford, the courts and the bar have reestablished contact with the prison, now that the typhus outbreak there has been curbed."
512,experiment,False,0,"Ouch! Cried the cunning oyster-eater. A pearl! Someone had sold it for 100, another someone sold it for 300.",Ouch! cried the cunning oyster-eater - a pearl. Someone bought it for 100 and another someone sold it for 300.
768,experiment,False,0,One morning Sophie's alarm clock broke. Realising she was late she got a bus to school.,One morning Sophie's alarm clock broke. Realising she was late she got on a bus to school.
1024,experiment,False,0,"Because of the poster about the school strike, the pupils confronted Mr Griffith.",Because of the poster about the school strike the pupils confronted Mr Griffith
1280,experiment,False,0,"At Dover, the workers said their job was dangerous, delicate and","At Dover the delegates said their job was dangerous, delicate and insufficiently compensated"
1536,experiment,False,0,"Hanging on to the door, a traveller (a tad overweight) caused the carriage to topple over fracturing his skull","Hanging on to the door, a traveller (a tad over weight) caused the carriage to topple over - fracturing his skull."
1792,experiment,False,0,An unidentified paste maker from Maldon had gone,An unidentified paste maker from Maldon have gone.
2048,experiment,True,0,"Mrs Wilson, of Ealing, failed to reckon with the ardour of Collins, the laundry's owner. He fished the desperate laundress from the Thames.",
2304,experiment,False,0,The finance minister has recommended to tax collectors they be lenient with tax payers who have been affected by strikes.,The Finance Minister has recommended to tax collectors in Gloucester that they be lenient with tax payers who have been adversely affected by strikes.
2560,experiment,False,0,The weather in Colorado is warm and dry. This leads to the soil heating up and catching fire. This causes forest fires.,The weather in Colorado is warm and dry. This leads to the soil heating up and catching fire. This causes forest fires
2816,experiment,False,0,A military fever is catching,A military fever is catching
3072,experiment,False,0,"David of the 8th colonial regiment, incited men to riot on the wing","David , of the 8th colonial regiment , incited men to riot on the wing"
3584,experiment,False,0,"Mrs Tripe and Mr Martin went out for dinner, and were served at the same time.","Mrs Tripe and Mr Martin went out for dinner, and were served at the same time."
257,experiment,False,0,"In Dover, at the finale of the Bailiffs' convention the speaker said, their duties were dangerous, difficult and insufficiently compensated.","At Dover, the finale of the bailiffs' convention. Their duties, said a speaker, are ""delicate, dangerous, and insufficiently compensated."""
769,experiment,False,0,"due to ardour in polls, some congregants in Nottingham have been arrested","Due to their ardour in polls, some congregants in Nottingham have been arrested."
1025,experiment,False,0,There was a gas explosion at the home of Bennet in Cardiff. He was hurt and his mother-in-laws hair caught fire. The ceiling caved in.,There was a gas explosion at the home of Bennet in Cardiff. He was hurt. His mother in laws hair caught fire. The ceiling caved in.
1281,experiment,False,0,"Being slightly overweight, he cracked his skull having hold unto his carriage door causing it to topple over","A slightly overweight traveller fractured his skull after holding unto the door of his carriage, which caused his carriage to topple over in Bromley"
1537,experiment,False,0,A car ran over his dog. He was suspended as a consequence,A car ran over his dog. He was suspended as a consequence.
1793,experiment,False,0,"The charge of embezzlement again, the charge has gone.",The charge of embezzlement again the artillery has been cancelled.
2049,experiment,True,0,The photographer Josh Brown could not get over the death of his wife. He killed himself in York.,
2305,experiment,False,0,"Nancy enjoys swimming. Nancy was going to the swimming pool and got lost. so she asked an old man waiting at at a bus stop for directions. The old man couldn't giver her directions a bus arrived at the bus stop and the old man asked the old driver for directions. The driver gave Nancy directions to the swimming pool, so she could go swimming.","Nancy enjoys swimming. Nancy was going to the swimming pool but got lost, so she asked an old man waiting at a bus stop for directions. The old man could not give her directions. A bus arrived at the bus stop and the old man asked the driver for directions. The driver gave Nancy directions to the swimming pool, so Nancy was able to go swimming."
2561,experiment,False,0,"A member of parliament was hassled outside parliament, by the losing candidate,","A member of parliament was hassled outside parliament, the loosing candidate."
2817,experiment,False,0,"David, and eighth colonial Hereford who incited riots in the barracks has been giving 60 days in jail.","David, an eighth colonial regiment, Hereford, who incited inmates to riot in the barracks has been giving 60 days in jail."
3073,experiment,False,0,"Furious that someone stolen his catch M. Mills the fisherman, preferred mussels",Furious that someone had stolen his catch M. Mills a fisherman from Falmouth Cornwall found the seafood fancier
3329,experiment,False,0,"The fever, of military origin, is being taken in Lincoln. Preventative measures are being taken.",The fever if military origin are being taken in Lincoln. Preventing measures are being taken
3585,experiment,False,0,"A dishwasher from Bristol, died yesterday after being cured of tuberculosis",A dishwasher in Bristol died yesterday after being cured from tuberculosis.
3841,experiment,False,0,Was drawn from a Tibetan physician.,Was drawn from a Tibetan physician.
258,experiment,False,0,'Ouch!' yelled the oyster eater. 'A Pearl!'. Someone at the next table bough it for 100 pounds but a,'Ouch!' yelled the oyster eater. 'A Pearl!'. Someone at the next table bought it for 100 pounds but a similar one had cost 30 pence at the dime store.
